"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.0.0.2","TCP","74","35902  >  34567 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1269990663 TSecr=0 WS=512"
"2","0.151913011","10.0.0.2","10.0.0.1","TCP","74","34567  >  35902 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=4180764443 TSecr=1269990663 WS=512"
"3","0.202532534","10.0.0.1","10.0.0.2","TCP","66","35902  >  34567 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1269990866 TSecr=4180764443"
"4","0.226831379","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=2896 TSval=1269990866 TSecr=4180764443"
"5","0.251114468","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=2897 Ack=1 Win=42496 Len=2896 TSval=1269990866 TSecr=4180764443"
"6","0.275176531","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=5793 Ack=1 Win=42496 Len=2896 TSval=1269990866 TSecr=4180764443"
"7","0.299402190","10.0.0.1","10.0.0.2","TCP","2962","[TCP Previous segment not captured] 35902  >  34567 [PSH, ACK] Seq=11585 Ack=1 Win=42496 Len=2896 TSval=1269990866 TSecr=4180764443"
"8","0.377656844","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=1449 Win=42496 Len=0 TSval=4180764669 TSecr=1269990866"
"9","0.377657852","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=2897 Win=41472 Len=0 TSval=4180764669 TSecr=1269990866"
"10","0.401419903","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=5793 Win=41984 Len=0 TSval=4180764693 TSecr=1269990866"
"11","0.425794183","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=4180764717 TSecr=1269990866"
"12","0.449621470","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 11#1] 34567  >  35902 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=4180764741 TSecr=1269990866 SLE=11585 SRE=14481"
"13","0.452106990","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=14481 Ack=1 Win=42496 Len=2896 TSval=1269991091 TSecr=4180764669"
"14","0.476473595","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=17377 Ack=1 Win=42496 Len=2896 TSval=1269991091 TSecr=4180764669"
"15","0.500383727","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=20273 Ack=1 Win=42496 Len=2896 TSval=1269991115 TSecr=4180764693"
"16","0.524607340","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=23169 Ack=1 Win=42496 Len=2896 TSval=1269991115 TSecr=4180764693"
"17","0.549136443","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=26065 Ack=1 Win=42496 Len=2896 TSval=1269991140 TSecr=4180764717"
"18","0.573049475","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=28961 Ack=1 Win=42496 Len=2896 TSval=1269991140 TSecr=4180764717"
"19","0.597801661","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=31857 Ack=1 Win=42496 Len=2896 TSval=1269991163 TSecr=4180764741"
"20","0.603392106","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 11#2] 34567  >  35902 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=4180764894 TSecr=1269990866 SLE=11585 SRE=17377"
"21","0.609392445","10.0.0.1","10.0.0.2","TCP","1514","[TCP Fast Retransmission] 35902  >  34567 [ACK] Seq=8689 Ack=1 Win=42496 Len=1448 TSval=1269991225 TSecr=4180764741"
"22","0.627194884","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 11#3] 34567  >  35902 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=4180764918 TSecr=1269990866 SLE=11585 SRE=20273"
"23","0.651484605","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 11#4] 34567  >  35902 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=4180764943 TSecr=1269990866 SLE=11585 SRE=23169"
"24","0.665689493","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 35902  >  34567 [ACK] Seq=10137 Ack=1 Win=42496 Len=1448 TSval=1269991317 TSecr=4180764894"
"25","0.685294754","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=34753 Ack=1 Win=42496 Len=1448 TSval=1269991317 TSecr=4180764894"
"26","0.685292663","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 11#5] 34567  >  35902 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=4180764967 TSecr=1269990866 SLE=11585 SRE=26065"
"27","0.699623979","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 11#6] 34567  >  35902 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=4180764991 TSecr=1269990866 SLE=11585 SRE=28961"
"28","0.713702093","10.0.0.1","10.0.0.2","TCP","1514","[TCP Previous segment not captured] 35902  >  34567 [ACK] Seq=37649 Ack=1 Win=42496 Len=1448 TSval=1269991365 TSecr=4180764943"
"29","0.735360222","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 11#7] 34567  >  35902 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=4180765015 TSecr=1269990866 SLE=11585 SRE=31857"
"30","0.749290431","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 11#8] 34567  >  35902 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=4180765040 TSecr=1269990866 SLE=11585 SRE=34753"
"31","0.760162900","10.0.0.2","10.0.0.1","TCP","78","34567  >  35902 [ACK] Seq=1 Ack=10137 Win=40960 Len=0 TSval=4180765052 TSecr=1269991225 SLE=11585 SRE=34753"
"32","0.774048868","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=39097 Ack=1 Win=42496 Len=2896 TSval=1269991413 TSecr=4180764991"
"33","0.809783869","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=41993 Ack=1 Win=42496 Len=2896 TSval=1269991449 TSecr=4180765015"
"34","0.816210865","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=34753 Win=30208 Len=0 TSval=4180765108 TSecr=1269991317"
"35","0.834043764","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=44889 Ack=1 Win=42496 Len=2896 TSval=1269991463 TSecr=4180765040"
"36","0.835505189","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=4180765127 TSecr=1269991317"
"37","0.845964975","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=47785 Ack=1 Win=42496 Len=1448 TSval=1269991474 TSecr=4180765052"
"38","0.863800871","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 36#1] 34567  >  35902 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=4180765156 TSecr=1269991317 SLE=37649 SRE=39097"
"39","0.878729553","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=49233 Ack=1 Win=42496 Len=1448 TSval=1269991530 TSecr=4180765108"
"40","0.898042856","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=50681 Ack=1 Win=42496 Len=1448 TSval=1269991549 TSecr=4180765127"
"41","0.924306927","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 36#2] 34567  >  35902 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=4180765216 TSecr=1269991317 SLE=37649 SRE=41993"
"42","0.926348987","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=52129 Ack=1 Win=42496 Len=1448 TSval=1269991578 TSecr=4180765156"
"43","0.960047021","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 36#3] 34567  >  35902 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=4180765252 TSecr=1269991317 SLE=37649 SRE=44889"
"44","0.965503340","10.0.0.1","10.0.0.2","TCP","1514","[TCP Fast Retransmission] 35902  >  34567 [ACK] Seq=36201 Ack=1 Win=42496 Len=1448 TSval=1269991617 TSecr=4180765156"
"45","0.985362746","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 36#4] 34567  >  35902 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=4180765276 TSecr=1269991317 SLE=37649 SRE=47785"
"46","0.986817511","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=53577 Ack=1 Win=42496 Len=1448 TSval=1269991638 TSecr=4180765216"
"47","0.997252586","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 36#5] 34567  >  35902 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=4180765288 TSecr=1269991317 SLE=37649 SRE=49233"
"48","1.029990323","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 36#6] 34567  >  35902 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=4180765321 TSecr=1269991317 SLE=37649 SRE=50681"
"49","1.034445672","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=55025 Ack=1 Win=42496 Len=2896 TSval=1269991674 TSecr=4180765252"
"50","1.047856899","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=57921 Ack=1 Win=42496 Len=1448 TSval=1269991699 TSecr=4180765276"
"51","1.049381072","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 36#7] 34567  >  35902 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=4180765340 TSecr=1269991317 SLE=37649 SRE=52129"
"52","1.059811672","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=59369 Ack=1 Win=42496 Len=1448 TSval=1269991711 TSecr=4180765288"
"53","1.077667157","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 36#8] 34567  >  35902 [ACK] Seq=1 Ack=36201 Win=42496 Len=0 TSval=4180765368 TSecr=1269991317 SLE=37649 SRE=53577"
"54","1.115826524","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=53577 Win=33792 Len=0 TSval=4180765407 TSecr=1269991617"
"55","1.137171872","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=55025 Win=45568 Len=0 TSval=4180765429 TSecr=1269991638"
"56","1.140037345","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=60817 Ack=1 Win=42496 Len=1448 TSval=1269991791 TSecr=4180765368"
"57","1.178321274","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=62265 Ack=1 Win=42496 Len=1448 TSval=1269991830 TSecr=4180765407"
"58","1.184789227","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=57921 Win=51200 Len=0 TSval=4180765476 TSecr=1269991674"
"59","1.198675780","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=59369 Win=54272 Len=0 TSval=4180765490 TSecr=1269991699"
"60","1.199439536","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=63713 Ack=1 Win=42496 Len=1448 TSval=1269991851 TSecr=4180765429"
"61","1.210555589","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=60817 Win=56832 Len=0 TSval=4180765502 TSecr=1269991711"
"62","1.259165334","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=65161 Ack=1 Win=42496 Len=2896 TSval=1269991899 TSecr=4180765476"
"63","1.271476526","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=68057 Ack=1 Win=42496 Len=1448 TSval=1269991912 TSecr=4180765490"
"64","1.283348325","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=69505 Ack=1 Win=42496 Len=1448 TSval=1269991924 TSecr=4180765502"
"65","1.290479465","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=62265 Win=59904 Len=0 TSval=4180765582 TSecr=1269991791"
"66","1.328605596","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=63713 Win=62976 Len=0 TSval=4180765620 TSecr=1269991830"
"67","1.349934218","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=65161 Win=65536 Len=0 TSval=4180765641 TSecr=1269991851"
"68","1.391133848","10.0.0.1","10.0.0.2","TCP","1514","[TCP Previous segment not captured] 35902  >  34567 [ACK] Seq=73849 Ack=1 Win=42496 Len=1448 TSval=1269992042 TSecr=4180765620"
"69","1.409448676","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=68057 Win=71680 Len=0 TSval=4180765701 TSecr=1269991899"
"70","1.412222484","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=75297 Ack=1 Win=42496 Len=1448 TSval=1269992064 TSecr=4180765641"
"71","1.421848979","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=69505 Win=74240 Len=0 TSval=4180765713 TSecr=1269991912"
"72","1.434044642","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=70953 Win=77312 Len=0 TSval=4180765725 TSecr=1269991924"
"73","1.483927077","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=76745 Ack=1 Win=42496 Len=2896 TSval=1269992123 TSecr=4180765701"
"74","1.495847157","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=79641 Ack=1 Win=42496 Len=1448 TSval=1269992136 TSecr=4180765713"
"75","1.508284989","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=81089 Ack=1 Win=42496 Len=1448 TSval=1269992148 TSecr=4180765725"
"76","1.541508245","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=70953 Win=80384 Len=0 TSval=4180765833 TSecr=1269991924 SLE=73849 SRE=75297"
"77","1.563324867","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=70953 Win=82944 Len=0 TSval=4180765854 TSecr=1269991924 SLE=73849 SRE=76745"
"78","1.604437128","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=82537 Ack=1 Win=42496 Len=1448 TSval=1269992255 TSecr=4180765833"
"79","1.625746929","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 35902  >  34567 [ACK] Seq=70953 Ack=1 Win=42496 Len=1448 TSval=1269992277 TSecr=4180765854"
"80","1.635202573","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=70953 Win=88576 Len=0 TSval=4180765926 TSecr=1269991924 SLE=73849 SRE=79641"
"81","1.646527113","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=70953 Win=91648 Len=0 TSval=4180765938 TSecr=1269991924 SLE=73849 SRE=81089"
"82","1.658944798","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=70953 Win=94720 Len=0 TSval=4180765950 TSecr=1269991924 SLE=73849 SRE=82537"
"83","1.697633729","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 35902  >  34567 [ACK] Seq=72401 Ack=1 Win=42496 Len=1448 TSval=1269992349 TSecr=4180765926"
"84","1.709517189","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=83985 Ack=1 Win=42496 Len=1448 TSval=1269992360 TSecr=4180765938"
"85","1.721918878","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=85433 Ack=1 Win=42496 Len=1448 TSval=1269992373 TSecr=4180765950"
"86","1.754670716","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=70953 Win=97280 Len=0 TSval=4180766046 TSecr=1269991924 SLE=73849 SRE=83985"
"87","1.775990554","10.0.0.2","10.0.0.1","TCP","78","34567  >  35902 [ACK] Seq=1 Ack=72401 Win=100352 Len=0 TSval=4180766068 TSecr=1269992277 SLE=73849 SRE=83985"
"88","1.817151103","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=86881 Ack=1 Win=42496 Len=1448 TSval=1269992468 TSecr=4180766046"
"89","1.838477020","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=88329 Ack=1 Win=42496 Len=1448 TSval=1269992490 TSecr=4180766068"
"90","1.847916132","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=83985 Win=103424 Len=0 TSval=4180766140 TSecr=1269992349"
"91","1.859824256","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=85433 Win=105984 Len=0 TSval=4180766151 TSecr=1269992360"
"92","1.872208073","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=86881 Win=109056 Len=0 TSval=4180766164 TSecr=1269992373"
"93","1.910430952","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=89777 Ack=1 Win=42496 Len=1448 TSval=1269992562 TSecr=4180766140"
"94","1.967471024","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=88329 Win=112128 Len=0 TSval=4180766259 TSecr=1269992468"
"95","1.989014161","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=89777 Win=114688 Len=0 TSval=4180766280 TSecr=1269992490"
"96","2.029712758","10.0.0.1","10.0.0.2","TCP","1514","[TCP Previous segment not captured] 35902  >  34567 [ACK] Seq=94121 Ack=1 Win=42496 Len=1448 TSval=1269992681 TSecr=4180766259"
"97","2.060946335","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=91225 Win=117760 Len=0 TSval=4180766352 TSecr=1269992562"
"98","2.063290117","10.0.0.1","10.0.0.2","TCP","2962","35902  >  34567 [PSH, ACK] Seq=95569 Ack=1 Win=42496 Len=2896 TSval=1269992703 TSecr=4180766280"
"99","2.123187363","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=98465 Ack=1 Win=42496 Len=1448 TSval=1269992775 TSecr=4180766352"
"100","2.180191638","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=91225 Win=120832 Len=0 TSval=4180766472 TSecr=1269992562 SLE=94121 SRE=95569"
"101","2.213913900","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=91225 Win=126464 Len=0 TSval=4180766505 TSecr=1269992562 SLE=94121 SRE=98465"
"102","2.242531509","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 35902  >  34567 [ACK] Seq=91225 Ack=1 Win=42496 Len=1448 TSval=1269992894 TSecr=4180766472"
"103","2.274435316","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=91225 Win=129536 Len=0 TSval=4180766565 TSecr=1269992562 SLE=94121 SRE=99913"
"104","2.276353718","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 35902  >  34567 [ACK] Seq=92673 Ack=1 Win=42496 Len=1448 TSval=1269992928 TSecr=4180766505"
"105","2.336911141","10.0.0.1","10.0.0.2","TCP","1514","[TCP Previous segment not captured] 35902  >  34567 [ACK] Seq=101361 Ack=1 Win=42496 Len=1448 TSval=1269992988 TSecr=4180766565"
"106","2.393215839","10.0.0.2","10.0.0.1","TCP","78","34567  >  35902 [ACK] Seq=1 Ack=92673 Win=132096 Len=0 TSval=4180766685 TSecr=1269992894 SLE=94121 SRE=99913"
"107","2.426685065","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=99913 Win=135168 Len=0 TSval=4180766718 TSecr=1269992928"
"108","2.455605329","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=102809 Ack=1 Win=42496 Len=1448 TSval=1269993107 TSecr=4180766685"
"109","2.487513902","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=99913 Win=138240 Len=0 TSval=4180766779 TSecr=1269992928 SLE=101361 SRE=102809"
"110","2.489006710","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=104257 Ack=1 Win=42496 Len=1448 TSval=1269993140 TSecr=4180766718"
"111","2.605741527","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=99913 Win=140800 Len=0 TSval=4180766897 TSecr=1269992928 SLE=101361 SRE=104257"
"112","2.639314259","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=99913 Win=143872 Len=0 TSval=4180766931 TSecr=1269992928 SLE=101361 SRE=105705"
"113","2.701951531","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=105705 Ack=1 Win=42496 Len=1448 TSval=1269993353 TSecr=4180766931"
"114","2.852231746","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=99913 Win=146944 Len=0 TSval=4180767144 TSecr=1269992928 SLE=101361 SRE=107153"
"115","2.914748302","10.0.0.1","10.0.0.2","TCP","1514","[TCP Retransmission] 35902  >  34567 [ACK] Seq=99913 Ack=1 Win=42496 Len=1448 TSval=1269993566 TSecr=4180767144"
"116","3.065227931","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=107153 Win=149504 Len=0 TSval=4180767357 TSecr=1269993566"
"117","3.127383211","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=107153 Ack=1 Win=42496 Len=1448 TSval=1269993779 TSecr=4180767357"
"118","3.139804545","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=108601 Ack=1 Win=42496 Len=1448 TSval=1269993779 TSecr=4180767357"
"119","3.278038527","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=108601 Win=152576 Len=0 TSval=4180767569 TSecr=1269993779"
"120","3.290449171","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=110049 Win=155648 Len=0 TSval=4180767582 TSecr=1269993779"
"121","3.340596191","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=110049 Ack=1 Win=42496 Len=1448 TSval=1269993992 TSecr=4180767569"
"122","3.352398435","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=111497 Ack=1 Win=42496 Len=1448 TSval=1269993992 TSecr=4180767569"
"123","3.364739322","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=112945 Ack=1 Win=42496 Len=1448 TSval=1269994004 TSecr=4180767582"
"124","3.491416454","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=111497 Win=158208 Len=0 TSval=4180767783 TSecr=1269993992"
"125","3.508271077","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=112945 Win=161280 Len=0 TSval=4180767794 TSecr=1269993992"
"126","3.515862009","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=114393 Win=164352 Len=0 TSval=4180767807 TSecr=1269994004"
"127","3.554147724","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=114393 Ack=1 Win=42496 Len=1448 TSval=1269994205 TSecr=4180767783"
"128","3.578039836","10.0.0.1","10.0.0.2","TCP","1514","[TCP Previous segment not captured] 35902  >  34567 [ACK] Seq=117289 Ack=1 Win=42496 Len=1448 TSval=1269994230 TSecr=4180767807"
"129","3.705754987","10.0.0.2","10.0.0.1","TCP","66","34567  >  35902 [ACK] Seq=1 Ack=115841 Win=166912 Len=0 TSval=4180767996 TSecr=1269994205"
"130","3.729108668","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  35902 [ACK] Seq=1 Ack=115841 Win=169984 Len=0 TSval=4180768020 TSecr=1269994205 SLE=117289 SRE=118737"
"131","3.768265189","10.0.0.1","10.0.0.2","TCP","1514","35902  >  34567 [ACK] Seq=118737 Ack=1 Win=42496 Len=1448 TSval=1269994420 TSecr=4180767996"
